ID,Language,Subscription Type,Subscription Event Type,Purchase Store, Amount Converted ,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count
238,ESP,Limited,INITIAL_PURCHASE,App, $-   ,332,0,0,1,1,20,11
239,RUS,Limited,INITIAL_PURCHASE,Web, $65.84 ,182,0,0,0,1,2,0
240,RUS,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,0,1,1,0,0
241,NED,Limited,INITIAL_PURCHASE,Web, $38.13 ,92,0,0,1,1,3,3
242,ALL,Limited,INITIAL_PURCHASE,App, $-   ,365,0,0,1,1,1,1
243,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28805,0,1,0,1,15,5
244,ITA,Lifetime,INITIAL_PURCHASE,App, $-   ,28774,0,1,1,1,12,2
245,KOR,Limited,INITIAL_PURCHASE,Web, $43.58 ,96,1,1,0,1,0,0
246,ALL,Limited,INITIAL_PURCHASE,Web, $116.01 ,365,1,1,0,1,12,10
247,FRA,Limited,INITIAL_PURCHASE,App, $-   ,90,0,0,1,1,0,0
248,ENG,Limited,RENEWAL,Web, $35.97 ,277,1,1,1,1,5,0
249,ENG,Limited,INITIAL_PURCHASE,Web, $-   ,366,0,1,1,1,0,0
250,SVE,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,0,0,1,NULL,NULL
251,JPN,Limited,INITIAL_PURCHASE,Web, $41.46 ,91,0,1,1,1,1,1
252,ENG,Limited,RENEWAL,App, $-   ,110,1,0,1,1,1,0
253,FRA,Limited,RENEWAL,App, $-   ,303,1,0,1,1,1,1
254,FRA,Limited,INITIAL_PURCHASE,Web, $-   ,182,0,0,1,1,0,0
255,ESP,Limited,RENEWAL,App, $-   ,185,1,0,1,1,1,0
256,EBR,Limited,RENEWAL,App, $-   ,358,0,0,1,1,0,0
257,ESP,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,1,1,1,6,4
258,ALL,Lifetime,INITIAL_PURCHASE,Web, $199.00 ,28792,0,1,0,1,12,2
259,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28794,1,1,1,1,10,6
260,DEU,Limited,RENEWAL,App, $-   ,165,1,0,0,1,0,0
261,ESP,Limited,RENEWAL,App, $-   ,183,0,0,1,1,0,0
263,DEU,Limited,RENEWAL,App, $-   ,368,0,1,0,1,NULL,NULL
